county,town,year,avg_house_price,median_house_price,transaction_count,avg_download_speed,max_download_speed,sfbb_coverage,ufbb_coverage,gigabit_coverage,postcode_count,drug_offence,robbery,vehicle_crime
Cheshire,ALDERLEY EDGE,2021,706400.5,487500,220,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,ALDERLEY EDGE,2022,718776.6111111111,527500,144,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,ALDERLEY EDGE,2023,757134.6086956522,525000,115,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,ALDERLEY EDGE,2024,868324.022556391,600000,133,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,ALTRINCHAM,2021,588716.6666666666,485000,9,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,ALTRINCHAM,2022,928615.3846153846,715000,13,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,ALTRINCHAM,2023,970312.5,1046250,8,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,ALTRINCHAM,2024,727500,425000,10,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,CHEADLE,2021,90276.6,682,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,CHEADLE,2024,1293333.3333333333,420000,3,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,CHESTER,2021,319403.9483568075,252000,2982,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,CHESTER,2022,332512.8555181129,270000,2374,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,CHESTER,2023,357388.5104431992,265000,1963,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,CHESTER,2024,359381.02857142856,278500,2065,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,CONGLETON,2021,303370.18879056047,250000,1017,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,CONGLETON,2022,308000.8761061947,281000,904,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,CONGLETON,2023,301155.81329923274,281502.5,782,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,CONGLETON,2024,322728.6679586563,285000,774,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,CREWE,2021,255163.23049132948,193995,2768,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,CREWE,2022,260657.497008547,212500,2340,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,CREWE,2023,251133.63636363635,195000,1804,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,CREWE,2024,269780.0462065031,190000,1753,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,ELLESMERE PORT,2021,212132.86074074075,180000,1350,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,ELLESMERE PORT,2022,247471.9184397163,190000,1128,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,ELLESMERE PORT,2023,237414.09645131935,195000,1099,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,ELLESMERE PORT,2024,236537.68326693223,197000,1004,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,FRODSHAM,2021,438445.2536997886,255000,473,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,FRODSHAM,2022,346644.9072463768,280000,345,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,FRODSHAM,2023,343543.49275362317,272020,276,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,FRODSHAM,2024,345931.7544378698,288500,338,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,HIGH PEAK,2021,480000,480000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,HIGH PEAK,2022,431750,431750,2,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,HIGH PEAK,2023,614375,437500,4,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,HIGH PEAK,2024,1200000,1200000,1,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,HYDE,2023,225000,225000,1,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,KNUTSFORD,2021,590878.2646153846,425000,650,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,KNUTSFORD,2022,642621.4264392324,470000,469,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,KNUTSFORD,2023,696453.6363636364,472500,517,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,KNUTSFORD,2024,582626.6209523809,430000,525,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,LYMM,2021,604235,537500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,LYMM,2022,473663.3333333333,475000,15,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,LYMM,2023,890083.2,835000,5,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,MACCLESFIELD,2021,392829.7589453861,260000,2124,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,MACCLESFIELD,2022,382432.23222477065,260000,1744,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,MACCLESFIELD,2023,357204.0129604366,274000,1466,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,MACCLESFIELD,2024,385011.2046666667,290000,1500,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,MALPAS,2021,402081.3945945946,322499,185,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,MALPAS,2022,429596.4166666667,346250,156,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,MALPAS,2023,491660.8962264151,421250,106,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,MALPAS,2024,424149.95327102806,350000,107,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,MANCHESTER,2024,20400000,20400000,1,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,MIDDLEWICH,2021,286196.14960629924,208500,381,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,MIDDLEWICH,2022,385139.8028571429,213750,350,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,MIDDLEWICH,2023,365240.9335347432,195500,331,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,MIDDLEWICH,2024,324369.09722222225,214250,288,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,NANTWICH,2021,315537.8012939002,275000,1082,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,NANTWICH,2022,337053.7847800238,290000,841,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,NANTWICH,2023,344967.2473919523,292500,671,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,NANTWICH,2024,379195.775106082,290000,707,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,NESTON,2021,375365.9074074074,305000,432,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,NESTON,2022,374995.96126760566,325000,284,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,NESTON,2023,375043.3654618474,306000,249,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,NESTON,2024,380937.55592105264,321750,304,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,NORTHWICH,2021,285799.406805485,230000,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,NORTHWICH,2022,289163.0318627451,235000,1632,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,NORTHWICH,2023,289183.0752047654,230000,1343,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,NORTHWICH,2024,287563.47776183643,250000,1394,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,RUNCORN,2021,256458.33333333337,187500,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,RUNCORN,2022,364444.4444444445,215000,9,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,RUNCORN,2023,250427,338000,5,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,RUNCORN,2024,378611.1111111111,340000,9,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,SANDBACH,2021,298225.94110854506,238497.5,866,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,SANDBACH,2022,307457.619760479,260000,668,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,SANDBACH,2023,302961.646484375,248500,512,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,SANDBACH,2024,325118.4697286013,270000,479,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,STOCKPORT,2021,384279.5188509874,350000,557,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,STOCKPORT,2022,436103.8639308855,399995,463,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,STOCKPORT,2023,484645.5467836258,379500,342,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,STOCKPORT,2024,447718.4314214464,405000,401,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,STOKE-ON-TRENT,2021,264737.3917378917,232875,702,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,STOKE-ON-TRENT,2022,289688.05751391465,265000,539,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,STOKE-ON-TRENT,2023,288957.9243119266,267400,436,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,STOKE-ON-TRENT,2024,315643.6218905473,251250,402,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,TARPORLEY,2021,515030.0108991826,425000,367,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,TARPORLEY,2022,545130.3879003559,485000,281,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,TARPORLEY,2023,527240.1441441441,446500,222,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,TARPORLEY,2024,529741.9812734083,430000,267,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,TIVERTON,2023,290000,290000,1,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,WARRINGTON,2021,583944.4444444445,511250,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WARRINGTON,2022,637916.6666666666,525000,12,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WARRINGTON,2023,575366.6666666666,560000,15,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,WARRINGTON,2024,718750,662500,16,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,WHITCHURCH,2021,534161.8421052631,430000,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WHITCHURCH,2022,506122.9166666667,502500,24,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WHITCHURCH,2023,500132.3529411765,500000,17,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,WHITCHURCH,2024,665444.7894736842,575000,19,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,WIDNES,2021,140000,140000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WIDNES,2022,170000,170000,1,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WILMSLOW,2021,466066.61246348586,390000,1027,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WILMSLOW,2022,505461.05193236715,406250,828,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WILMSLOW,2023,515311.8325722983,419950,657,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,WILMSLOW,2024,492469.37350993376,399995,755,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,WINSFORD,2021,227249.95838926177,172995,745,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WINSFORD,2022,245844.62468513855,195000,794,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WINSFORD,2023,219956.7716814159,190000,565,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cheshire,WINSFORD,2024,214716.6280991735,189950,484,337.21795599166313,1000,95.88420052750982,83.85228249442056,82.06919969751185,54217,3157,420,2259
Cheshire,WIRRAL,2021,405000,405000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheshire,WIRRAL,2022,220000,220000,1,266.0891728036897,1000,94.11338800862904,66.33683143643532,60.50831101688611,53772,232,30,180
Cheshire,WIRRAL,2023,500000,500000,1,308.3503194521562,1000,95.12495650564502,76.96789746437165,73.73588006662965,54030,3347,405,2635
Cumberland,ALSTON,2021,698912.5,206250,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,ALSTON,2022,260774.1935483871,212000,31,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,ALSTON,2023,211800,195000,5,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,AMBLESIDE,2021,611640.2567567568,450000,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,AMBLESIDE,2022,655323.4454545454,503500,110,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,AMBLESIDE,2023,510756.1538461539,437500,13,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,APPLEBY-IN-WESTMORLAND,2021,275725.8717948718,208250,156,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,APPLEBY-IN-WESTMORLAND,2022,283052.2897196262,219000,107,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,APPLEBY-IN-WESTMORLAND,2023,283777.77777777775,227000,9,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,ASKAM-IN-FURNESS,2021,214441.9841269841,180000,63,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,ASKAM-IN-FURNESS,2022,188399.24242424243,182500,66,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,ASKAM-IN-FURNESS,2023,226500,177500,7,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,BARROW-IN-FURNESS,2021,164650.2184139785,136000,1488,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,BARROW-IN-FURNESS,2022,152590.56713615023,123000,1065,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,BARROW-IN-FURNESS,2023,136767.4827586207,108500,145,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,BECKERMET,2021,236131.57894736843,230000,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,BECKERMET,2022,264421.05263157893,270000,19,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,BECKERMET,2023,299388.8888888889,285000,9,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,BECKERMET,2024,222150,218500,10,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,BRAMPTON,2021,272582.6909090909,244000,275,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,BRAMPTON,2022,281807.4888888889,234950,180,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,BRAMPTON,2023,277294.97023809527,202500,168,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,BRAMPTON,2024,315016.8163265306,237500,147,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,BROUGHTON-IN-FURNESS,2021,306624.18604651163,295000,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cumberland,BROUGHTON-IN-FURNESS,2022,438197.25,426500,20,163.0243292486641,1000,89.05804880142499,34.35543060712063,31.60959718436809,46597,123,12,74
Cumberland,BROUGHTON-IN-FURNESS,2023,249950,249950,1,190.91633641341545,1000,89.67482674537987,41.579530287474334,40.008211413415474,46752,1534,173,992
Cumberland,BROUGHTON-IN-FURNESS,2024,260000,260000,1,236.94719646704925,1000,90.54153990570263,54.22820813688051,53.69164551020843,46873,1879,143,905
Cumberland,CARLISLE,2021,189183.77220630372,151995,2792,NA,NA,NA,NA,NA,NA,NA,NA,NA
